province_name_th,RAW_X1_sum,RAW_X2_uc,RAW_X3_sum,RAW_X4_ipd,RAW_X1_per_capita,RAW_X2_per_capita,RAW_X3_per_capita,RAW_X4_per_capita,Z_X1,Z_X2,Z_X3,Z_X4,R_general,Total_Gap,Penalty,R_final,disease_dm_burden_raw,disease_dm_supply_raw_sum,disease_dm_supply_raw_mean,disease_dm_burden_norm,disease_dm_supply_norm_mean,disease_dm_gap,disease_heart_burden_raw,disease_heart_supply_raw_sum,disease_heart_supply_raw_mean,disease_heart_burden_norm,disease_heart_supply_norm_mean,disease_heart_gap,disease_ht_burden_raw,disease_ht_supply_raw_sum,disease_ht_supply_raw_mean,disease_ht_burden_norm,disease_ht_supply_norm_mean,disease_ht_gap
กรุงเทพมหานคร,72502,1946,35961,19375.05205479452,0.049770034460507706,0.0013358595219462636,0.0246859425841262,0.013300281487976249,3.91107242649376,-1.598250248144215,3.1971802536724474,-2.050679876328804,1.5193219592558487,0.0,0.0,1.5193219592558487,27793,38960,2996.923076923077,0.22995428773223991,1.0,0.0,18901,34866,3169.6363636363635,1.0,1.0,0.0,50874,35389,3538.9,0.17665349269082425,1.0,0.0
กระบี่,2000,224,1185,797.8,0.027456310146479413,0.0030751067364056944,0.016267863761789052,0.010952322117430639,0.613277348919577,1.4272570413362864,0.8125730580935188,-0.9908315720449983,0.7369195063829206,0.15869724287987713,0.007934862143993858,0.7289846442389267,14363,1277,98.23076923076923,0.09821270918757725,0.0201943713582701,0.07801833782930716,930,1164,105.81818181818181,0.04450233943002978,0.016643401729940513,0.027858937700089265,29626,1185,118.5,0.0754773582210371,0.022657390870556404,0.052819967350480695
กาญจนบุรี,3285,295,2171,1525.816438356164,0.017601954701088267,0.00158069304012817,0.01163282911904494,0.008175753981772005,-0.8431198182734632,-1.172350130087252,-0.500403120214182,0.2624869764878188,-0.7627848927296155,0.4418099046980406,0.02209049523490203,-0.7848753879645175,28812,2297,176.69230769230768,0.2399501677424418,0.04039638632059621,0.1995537814218456,950,2052,186.54545454545453,0.04556571671629094,0.02701994717304367,0.018545769543247274,68495,2078,207.8,0.260559020999,0.03684866726605228,0.22371035373294773
กาฬสินธุ์,3380,518,2037,1439.416438356164,0.018720368647259514,0.0028689795737516064,0.011282068323806993,0.007972309574838075,-0.677826927025583,1.068688559532676,-0.5997638810129475,0.3543200006916597,-0.03504497908385398,0.6428854237754981,0.03214427118877491,-0.0671892502726289,42008,2154,165.69230769230768,0.3693963233995802,0.031731075625518024,0.33766524777406215,2042,1948,177.0909090909091,0.10362611654615057,0.01901105695649311,0.08461505958965747,66442,1972,197.2,0.25078329603352223,0.030178179621743788,0.22060511641177843
กำแพงเพชร,2560,368,1239,1014.52602739726,0.012398355280682297,0.0017822635715980801,0.006000610231548971,0.004913458644207207,-1.6121713810147937,-0.8217081355297287,-2.0958538126644135,1.7350585315857106,-1.1370459024391477,0.4153916924968474,0.02076958462484237,-1.15781548706399,24975,1359,104.53846153846153,0.20231111808675523,0.03214029830572162,0.1701708197810336,1228,1207,109.72727272727273,0.06034666099532114,0.018351252235513763,0.04199540875980738,63619,1245,124.5,0.23734107899623827,0.0341156150402319,0.20322546395600638
ขอนแก่น,11761,818,6064,4373.860273972603,0.029723513950667205,0.0020673271330367976,0.015325515568135868,0.011054034254884257,0.9483524551674134,-0.32582585040778816,0.5456320694485219,-1.0367435404366185,0.28704528679067143,1.4118557245513275,0.07059278622756637,0.21645250056310505,81726,6598,507.53846153846155,0.7590100253085088,0.14059542221251886,0.61841460309599,9495,5911,537.3636363636364,0.4998936622713739,0.15904638972893717,0.34084727254243674,139000,6014,601.4,0.5962811294700252,0.14368728055712446,0.4525938489129008
จันทบุรี,3385,241,1874,1205.260273972603,0.038681735592910445,0.0027540024454627524,0.021414940177581734,0.01377298648107741,2.272308009150638,0.8686801094000818,2.2705964047894116,-2.2640547718442807,1.3972410402537339,0.48527875892390965,0.024263937946195482,1.3729771023075383,21281,1994,153.3846153846154,0.1660748268623335,0.03504876868240806,0.13102605817992544,5022,1815,165.0,0.26206933219906425,0.0389890524196393,0.22308027977942496,48711,1836,183.6,0.16635398314365982,0.035181562179100595,0.13117242096455922
ฉะเชิงเทรา,3183,233,1987,1277.465753424658,0.023877215750110647,0.0017478451994268867,0.014905443825155467,0.009582885770624633,0.08431500644330019,-0.8815806108341459,0.42663744821589045,-0.3726799940431672,-0.18268869043406227,0.40100530932901907,0.020050265466450955,-0.20273895590051322,29121,2128,163.69230769230768,0.24298130309391616,0.04091516325818057,0.2020661398357356,900,1889,171.72727272727272,0.04290727350063803,0.02265732919673854,0.020249944303899488,60001,1939,193.9,0.2201133279367649,0.041424102747380925,0.178689225189384
ชลบุรี,11234,629,6531,3706.824657534246,0.03542440544137031,0.0019834387593574794,0.020594337897239582,0.011688807154046802,1.7908999219749036,-0.47175386107781,2.038142641441411,-1.3232744698991692,0.8501348917649838,0.627998609061881,0.03139993045309405,0.8187349613118897,45402,6970,536.1538461538462,0.4026897647682015,0.15915767554853724,0.24353208921966427,5594,6224,565.8181818181819,0.29248192258613354,0.12555266261693313,0.1669292599692004,92235,6344,634.4,0.3736012570829961,0.1560639972099797,0.21753725987301636
ชัยนาท,1419,141,753,504.6493150684931,0.022794448371136672,0.0022649874702820793,0.012095996915761742,0.008106555854727448,-0.07570959914409629,0.018014166241393795,-0.3692005876505007,0.29372240522981885,-0.06934746679233864,0.20671372664793022,0.010335686332396512,-0.07968315312473515,16489,817,62.84615384615385,0.11906770516568245,0.018497336637749735,0.10057036852793272,361,712,64.72727272727273,0.014249255635899617,0.007897491191010457,0.0063517644448891596,38242,724,72.4,0.1165039760011428,0.016712382326034458,0.09979159367510834
